id,item_name,price,item_description,shop_id,shop_name,shop_location
1,Air Force 1,100,Classic white,1,Nike,"Beaverton, OR, USA"
2,Air Max,90,Light pink and white,1,Nike,"Beaverton, OR, USA"
3,Stan Smiths,95,Classic white,2,Adidas,"Herzogenaurach, Germany"
4,Samba,75,Black and white,2,Adidas,"Herzogenaurach, Germany"
5,"Align Legging 28""",98,Deep coal,3,Lululemon,"Vancouver, Canada"
6,Denali Jacket,179,Dark Oak,4,The North Face,"Denver, CO, USA"
7,Color Block Hoodie,69,Aqua and cream,4,The North Face,"Denver, CO, USA"
8,Club C 85 Vintage Shoes,85,Cream,5,Reebok,"Boston, MA, USA"
9,Align Tank Top,58,Violet,3,Lululemon,"Vancouver, Canada"
10,Ribbed Tank Top,68,Fuschia,3,Lululemon,"Vancouver, Canada"
11,ColdGear Crewneck,55,Bright white,6,Under Armour,"Baltimore, MD, USA"
12,Hustle Fleece Hoodie,50,Navy,6,Under Armour,"Baltimore, MD, USA"
13,Play Up Shorts,25,Midnight black,6,Under Armour,"Baltimore, MD, USA"
14,Womens Ironman Shoes,150,Neon green,7,Hoka,"Goleta, CA, USA"
15,Womens Mach Shoes,140,Coral,7,Hoka,"Goleta, CA, USA"